establishment_id,codigo_deis,servicio_salud,tipo_establecimiento,dependencia,nombre_oficial,comuna,via,numero,direccion,region,source_url,fetched_at
est_98e40ad7c33af69d,117465,Ñuble,Posta de Salud Rural,Municipal,Posta de Salud Rural San Ignacio Palomares,RÁNQUIL,Calle,S/N,Caserío San Ignacio Palomares,Nuble,https://www.minsal.cl/wp-content/uploads/2018/12/Listado-Establecimientos-DEIS.pdf,2026-04-01T11:21:58
est_4ddb37da36a74a4d,117467,Ñuble,Posta de Salud Rural,Municipal,Posta de Salud Rural El Caracol,SAN FABIAN,Calle,S/N,Sector El Caracol,Nuble,https://www.minsal.cl/wp-content/uploads/2018/12/Listado-Establecimientos-DEIS.pdf,2026-04-01T11:21:58
est_049e9689fa2e92d7,117468,Ñuble,Posta de Salud Rural,Municipal,Posta de Salud Rural Belén (Ñiquen),NIQUEN,Calle,S/N,Sector Belén,Nuble,https://www.minsal.cl/wp-content/uploads/2018/12/Listado-Establecimientos-DEIS.pdf,2026-04-01T11:21:58
est_b148ef7aa6931cdc,117469,Ñuble,Posta de Salud Rural,Municipal,Posta de Salud Rural Ciruelito,PINTO,Calle,S/N,Sector Ciruelito,Nuble,https://www.minsal.cl/wp-content/uploads/2018/12/Listado-Establecimientos-DEIS.pdf,2026-04-01T11:21:58
est_b68ca974167232ba,117470,Ñuble,Posta de Salud Rural,Municipal,Posta de Salud Rural Trabuncura,SAN FABIAN,Calle,S/N,Sector Trabuncura,Nuble,https://www.minsal.cl/wp-content/uploads/2018/12/Listado-Establecimientos-DEIS.pdf,2026-04-01T11:21:58
est_b620aa65bf373cbf,117471,Ñuble,Posta de Salud Rural,Municipal,Posta de Salud Rural Puente Ñuble,SAN NICOLAS,Calle,S/N,Pueblo de Puente Ñuble,Nuble,https://www.minsal.cl/wp-content/uploads/2018/12/Listado-Establecimientos-DEIS.pdf,2026-04-01T11:21:58
est_ab7974e9352af273,117472,Ñuble,Posta de Salud Rural,Municipal,Posta de Salud Rural Chancal,QUILLÓN,Calle,S/N,Sector Chancal,Nuble,https://www.minsal.cl/wp-content/uploads/2018/12/Listado-Establecimientos-DEIS.pdf,2026-04-01T11:21:58
est_e60a2eb2fdbeec91,117473,Ñuble,Posta de Salud Rural,Municipal,Posta de Salud Rural Capilla Sur,EL CARMEN,Calle,S/N,Sector Capilla Sur,Nuble,https://www.minsal.cl/wp-content/uploads/2018/12/Listado-Establecimientos-DEIS.pdf,2026-04-01T11:21:58
est_33ee95d3791d7891,117474,Ñuble,Posta de Salud Rural,Municipal,Posta de Salud Rural Agua Santa,EL CARMEN,Calle,S/N,Sector Agua Santa,Nuble,https://www.minsal.cl/wp-content/uploads/2018/12/Listado-Establecimientos-DEIS.pdf,2026-04-01T11:21:58
est_3a76c6b2849e9e92,117475,Ñuble,Posta de Salud Rural,Municipal,Posta de Salud Rural Castañal,EL CARMEN,Calle,S/N,Sector Castañal,Nuble,https://www.minsal.cl/wp-content/uploads/2018/12/Listado-Establecimientos-DEIS.pdf,2026-04-01T11:21:58
est_4310d503654947e6,117476,Ñuble,Posta de Salud Rural,Municipal,Posta de Salud Rural Las Hormigas,EL CARMEN,Calle,S/N,Sector Las Hormigas,Nuble,https://www.minsal.cl/wp-content/uploads/2018/12/Listado-Establecimientos-DEIS.pdf,2026-04-01T11:21:58
est_39ea5e34b5ea8006,117477,Ñuble,Posta de Salud Rural,Municipal,Posta de Salud Rural Chamizal,EL CARMEN,Calle,S/N,Sector Chamizal,Nuble,https://www.minsal.cl/wp-content/uploads/2018/12/Listado-Establecimientos-DEIS.pdf,2026-04-01T11:21:58
